region,provincia,comuna,dc,nom_distrito,hombre_18-19,hombre_20-24,hombre_25-29,hombre_30-34,hombre_35-39,hombre_40-44,hombre_45-49,hombre_50-54,hombre_55-59,hombre_60-64,hombre_65-69,hombre_70-74,hombre_75-79,hombre_80-84,mujer_18-19,mujer_20-24,mujer_25-29,mujer_30-34,mujer_35-39,mujer_40-44,mujer_45-49,mujer_50-54,mujer_55-59,mujer_60-64,mujer_65-69,mujer_70-74,mujer_75-79,mujer_80-84,hombre_18-19,hombre_20-24,hombre_25-29,hombre_30-34,hombre_35-39,hombre_40-44,hombre_45-49,hombre_50-54,hombre_55-59,hombre_60-64,hombre_65-69,hombre_70-74,hombre_75-79,hombre_80-84,mujer_18-19,mujer_20-24,mujer_25-29,mujer_30-34,mujer_35-39,mujer_40-44,mujer_45-49,mujer_50-54,mujer_55-59,mujer_60-64,mujer_65-69,mujer_70-74,mujer_75-79,mujer_80-84,hombre_18-19,hombre_20-24,hombre_25-29,hombre_30-34,hombre_35-39,hombre_40-44,hombre_45-49,hombre_50-54,hombre_55-59,hombre_60-64,hombre_65-69,hombre_70-74,hombre_75-79,hombre_80-84,mujer_18-19,mujer_20-24,mujer_25-29,mujer_30-34,mujer_35-39,mujer_40-44,mujer_45-49,mujer_50-54,mujer_55-59,mujer_60-64,mujer_65-69,mujer_70-74,mujer_75-79,mujer_80-84
13,131,13103,3,JOSÉ JOAQUÍN PÉREZ,151,455,489,393,330,318,329,336,351,282,212,134,84,57,141,450,413,332,311,330,315,390,377,286,232,135,142,100,151,455,489,393,330,318,329,336,351,282,212,134,84,57,141,450,413,332,311,330,315,390,377,286,232,135,142,100,151,455,489,393,330,318,329,336,351,282,212,134,84,57,141,450,413,332,311,330,315,390,377,286,232,135,142,100
13,131,13103,4,POBLACIÓN ROOSEVELT,133,480,478,349,331,346,324,398,398,312,208,143,103,74,170,406,449,303,333,351,343,416,446,335,232,183,170,141,133,480,478,349,331,346,324,398,398,312,208,143,103,74,170,406,449,303,333,351,343,416,446,335,232,183,170,141,133,480,478,349,331,346,324,398,398,312,208,143,103,74,170,406,449,303,333,351,343,416,446,335,232,183,170,141
13,131,13103,5,DALMACIA,129,450,450,324,312,321,380,364,237,133,154,198,130,83,147,426,375,316,277,336,367,351,204,216,234,247,194,114,129,450,450,324,312,321,380,364,237,133,154,198,130,83,147,426,375,316,277,336,367,351,204,216,234,247,194,114,129,450,450,324,312,321,380,364,237,133,154,198,130,83,147,426,375,316,277,336,367,351,204,216,234,247,194,114
13,131,13103,6,EL MONTIJO,133,421,419,319,306,453,398,295,237,193,257,230,96,40,154,426,413,307,306,415,384,298,230,272,321,256,141,65,133,421,419,319,306,453,398,295,237,193,257,230,96,40,154,426,413,307,306,415,384,298,230,272,321,256,141,65,133,421,419,319,306,453,398,295,237,193,257,230,96,40,154,426,413,307,306,415,384,298,230,272,321,256,141,65
13,131,13103,7,VIOLETA PARRA,308,765,815,516,513,618,771,698,421,316,299,335,222,98,292,823,680,516,473,611,719,631,430,348,440,431,313,182,308,765,815,516,513,618,771,698,421,316,299,335,222,98,292,823,680,516,473,611,719,631,430,348,440,431,313,182,308,765,815,516,513,618,771,698,421,316,299,335,222,98,292,823,680,516,473,611,719,631,430,348,440,431,313,182
13,131,13103,8,VICTORIA,162,526,546,404,336,418,457,438,325,207,225,242,161,72,200,565,463,409,346,417,453,439,328,261,300,307,200,120,162,526,546,404,336,418,457,438,325,207,225,242,161,72,200,565,463,409,346,417,453,439,328,261,300,307,200,120,162,526,546,404,336,418,457,438,325,207,225,242,161,72,200,565,463,409,346,417,453,439,328,261,300,307,200,120
13,131,13103,9,RÍO VIEJO,379,798,793,809,717,662,562,462,503,490,327,164,87,27,302,822,828,843,822,677,597,564,653,591,353,213,116,56,379,798,793,809,717,662,562,462,503,490,327,164,87,27,302,822,828,843,822,677,597,564,653,591,353,213,116,56,379,798,793,809,717,662,562,462,503,490,327,164,87,27,302,822,828,843,822,677,597,564,653,591,353,213,116,56
13,131,13104,1,CONCHALÍ,114,402,411,360,282,281,234,273,278,190,198,143,77,70,109,364,363,319,268,297,280,320,314,244,216,158,134,120,114,402,411,360,282,281,234,273,278,190,198,143,77,70,109,364,363,319,268,297,280,320,314,244,216,158,134,120,114,402,411,360,282,281,234,273,278,190,198,143,77,70,109,364,363,319,268,297,280,320,314,244,216,158,134,120
13,131,13104,2,JUANITA AGUIRRE,176,525,530,461,416,361,376,511,463,322,208,151,158,126,173,475,538,439,388,366,380,594,530,355,238,202,263,224,176,525,530,461,416,361,376,511,463,322,208,151,158,126,173,475,538,439,388,366,380,594,530,355,238,202,263,224,176,525,530,461,416,361,376,511,463,322,208,151,158,126,173,475,538,439,388,366,380,594,530,355,238,202,263,224
13,131,13104,3,POMAIRE,212,676,694,551,495,519,561,580,527,374,291,220,154,96,267,665,653,480,453,537,521,594,573,416,318,292,249,194,212,676,694,551,495,519,561,580,527,374,291,220,154,96,267,665,653,480,453,537,521,594,573,416,318,292,249,194,212,676,694,551,495,519,561,580,527,374,291,220,154,96,267,665,653,480,453,537,521,594,573,416,318,292,249,194
